Lighthouse Name,ARLHS Number,Status,State Province,Coordinates,Coordinates,Coordinates,Gridsquare,IOTA,# of Activations
Lancaster Range Front (St. Lawrence River),CAN 1037,- -,Ontario,45° 6.0' N,074° 30.0' W,Map,FN25rc,-,2
Langara Point,CAN 269,- -,British Columbia,54° 15.0' N,133° 3.0' W,Map,CO34lg,-,-
Lark Islet,CAN 1119,Hist -,Quebec,-,-,-,-,-,-
Launching Pond (Breakwater),CAN 270,- -,Prince Edward Island,46° 13.0' N,062° 25.0' W,Map,FN86tf,-,-
Launching Pond South (Breakwater),CAN 271,- -,Prince Edward Island,46° 13.0' N,062° 25.0' W,Map,FN86tf,-,-
Lawyer Island (Chatham Sound),CAN 272,- -,British Columbia,54° 7.0' N,130° 21.0' W,Map,CO44tc,-,-
Lead Mines (Lake Memphremagog),CAN 715,Hist -,Quebec,-,-,-,-,-,-
Leamington (Lake Erie),CAN 758,- -,Ontario,-,-,-,-,-,-
"Leards Range Front/Victoria (Victoria Harbour) Victoria/Leards Front Range (Victoria Harbour), PE",CAN 512,Hist -,Prince Edward Island,46° 13.0' N,063° 29.0' W,Map,FN86gf,-,3
Leards Range Rear (Victoria Harbour),CAN 513,- -,Prince Edward Island,46° 13.0' N,063° 29.0' W,Map,FN86gf,-,1
"Leclercville Front Range/Sainte-Emmelie Front Range (St. Lawrence River) Sainte-Emmelie Front Range/Leclercville Front Range (St. Lawrence River), QC",CAN 1146,- -,Quebec,-,-,-,-,-,1
"Leclercville Rear Range/Sainte-Emmelie Rear Range (St. Lawrence River) Sainte-Emmelie Rear Range/Leclercville Rear Range (St. Lawrence River), QC",CAN 1147,- -,Quebec,-,-,-,-,-,1
Lennard Island,CAN 273,- -,British Columbia,49° 7.0' N,125° 56.0' W,Map,CN79ac,-,-
Leonardsville,CAN 274,Hist -,New Brunswick,-,-,-,-,-,-
Light D77 (Detroit River),CAN 1014,Hist -,Ontario,42° 8.0' N,083° 7.0' W,Map,EN82kd,-,-
"Lighthouse Shoal/Rosseau (Rosseau Lake) Rosseau/Lighthouse Shoal (Rosseau Lake), ON",CAN 858,- -,Ontario,-,-,-,-,-,-
Limekiln Crossing Rear Range (Detroit River),CAN 1132,Hist -,Ontario,42° 7.7' N,083° 6.9' W,Map,EN82kd,-,-
Lingan Head (Bridgeport Harbour),CAN 1226,Hist -,Nova Scotia,-,-,-,-,-,-
Lion's Head (Georgian Bay),CAN 276,- -,Ontario,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 571,- -,-,-,-,-,-,-,-
Liscomb Island,CAN 277,- -,Nova Scotia,44° 59.0' N,061° 58.0' W,Map,FN94ax,-,-
Little Burin Island,CAN 691,- -,Newfoundland and Labrador,46° 59.0' N,055° 12.0' W,Map,GN26jx,-,-
Little Channel Rear Range (Conway Inlet),CAN 1257,Hist -,Prince Edward Island,-,-,-,-,-,-
"Little Current Range North/Spider Island (Manitoulin Island) Spider Island/Little Current Range North (Manitoulin Island), ON H",CAN 278,Hist -,Ontario,-,-,-,-,-,-
Little Current Range South (Manitoulin Island),CAN 1072,Hist -,Ontario,-,-,-,-,-,-
Little Denier Island,CAN 663,Hist -,Newfoundland and Labrador,48° 41.0' N,053° 35.0' W,Map,GN38fq,-,-
Little Hope Island,CAN 279,Hist -,Nova Scotia,43° 49.0' N,064° 47.0' W,Map,FN73ot,-,-
Little Lorraine (Cape Breton Island),CAN 1371,Hist -,Nova Scotia,-,-,-,-,NA-010,-
Little Narrows,CAN 280,- -,Nova Scotia,46° 0.0' N,060° 59.0' W,Map,FN95mx,-,-
Little Port Head Light,CAN 1457,- -,-,49° 6.5' N,058° 25.7' W,Map,GN09sc,-,-
"Little St. Agnes/Stoddard Island Stoddard Island/Liitle St. Agnes, NS",CAN 482,- -,Nova Scotia,43° 29.0' N,065° 43.0' W,Map,FN73dl,-,-
Livingstone Channel Upper Entrance (Detroit River),CAN 1038,- -,Ontario,42° 8.0' N,083° 7.0' W,Map,EN82kd,-,-
Lobster Cove Head (Bonnie Bay),CAN 646,Hist -,Newfoundland and Labrador,49° 36.0' N,057° 57.0' W,Map,GN19ao,-,-
Lonely Island,CAN 282,Hist -,Ontario,45° 34.4' N,081° 28.1' W,Map,EN95gn,-,-
"Long Dock/Southampton Harbour Front Range (Lake Huron) Southampton Harbour Front Range/Long Dock (Lake Huron), ON H",CAN 831,Hist -,Ontario,-,-,-,-,-,-
"Long Eddy Point/Whistle Whistle/Long Eddy Point, NB",CAN 283,Hist -,New Brunswick,44° 48.0' N,066° 47.1' W,Map,FN64ot,-,4
Long Island (Placentia Bay),CAN 692,- -,Newfoundland and Labrador,47° 18.0' N,054° 42.0' W,Map,GN27ph,-,-
Long Pèlerin Long Pilgrim,CAN 284,- -,Quebec,47° 43.0' N,069° 44.9' W,Map,FN57dr,-,1
Long Point,CAN 285,- -,Newfoundland and Labrador,49° 41.0' N,054° 48.0' W,Map,GN29oq,-,-
Long Point (Bay of Fundy),CAN 644,- -,New Brunswick,44° 36.8' N,066° 42.6' W,Map,FN64po,-,2
Long Point (Lake Erie),CAN 759,- -,Ontario,-,-,-,-,-,-
"Long Point Cut/Old Cut/Long Point West End (Lake Erie) Long Point West End/Long Point Cut/Old Cut (Lake Erie), ON : Old Cut/Long Point West End/Long Point Cut (Lake Erie), ON",CAN 580,- -,Ontario,-,-,-,-,-,1
Long Point Inner Bay (Lake Erie),CAN 1325,- -,Ontario,42° 37.2' N,080° 20.3' W,Map,EN92to,-,-
Longue Pointe Traverse Front Range (St. Lawrence River),CAN 1120,Hist -,Quebec,45° 33.7' N,073° 29.7' W,Map,FN35gn,-,-
Longue Pointe Traverse Rear Range (St. Lawrence River),CAN 1121,Hist -,Quebec,45° 33.6' N,073° 29.7' W,Map,FN35gn,-,-
Lotbinière Front Range (St. Lawrence River),CAN 1148,- -,Quebec,46° 36.7' N,071° 57.4' W,Map,FN46ao,-,1
Lotbinière Rear Range (St. Lawrence River),CAN 1149,- -,Quebec,46° 36.3' N,071° 57.8' W,Map,FN46ao,-,1
Louisbourg,CAN 286,- -,Nova Scotia,45° 54.0' N,059° 58.0' W,Map,GN05av,-,-
Louisbourg Front Range (Cape Breton Island),CAN 1372,Hist -,Nova Scotia,-,-,-,-,NA-010,-
Louisbourg Rear Range (Cape Breton Island),CAN 1373,Hist -,Nova Scotia,-,-,-,-,NA-010,-
Low Point,CAN 287,- -,Nova Scotia,46° 16.0' N,060° 8.0' W,Map,FN96wg,-,-
Lower Alumette Lake (Ottawa River),CAN 1122,Hist -,Quebec,-,-,-,-,-,-
Lower l'Ardoise Front Range (Martin Point),CAN 1227,Hist -,Nova Scotia,-,-,-,-,-,-
Lower l'Ardoise Rear Range (Martin Point),CAN 1228,Hist -,Nova Scotia,-,-,-,-,-,-
Lower Montague Wharf,CAN 288,Hist -,Prince Edward Island,46° 10.0' N,062° 34.0' W,Map,FN86rd,-,-
Lower Neguac Wharf Range Back,CAN 289,- -,New Brunswick,-,-,-,-,-,-
Lucy Island (Chatham Sound),CAN 290,- -,British Columbia,54° 18.0' N,130° 37.0' W,Map,CO44qh,-,-
Lyal Island (Lake Huron),CAN 1073,Hist -,Ontario,-,-,-,-,-,-
Lynedoch Island (St. Lawrence River),CAN 1074,Hist -,Ontario,-,-,-,-,-,-
lOrignal Range Front (Ottawa River),CAN 1035,Hist -,Ontario,-,-,-,-,-,1
lOrignal Range Rear (Ottawa River),CAN 1036,Hist -,Ontario,-,-,-,-,-,1
Mabou Harbour,CAN 291,- -,Nova Scotia,46° 5.0' N,061° 28.0' W,Map,FN96gc,-,2
Mabou Harbour Front Range (Cape Breton Island),CAN 1374,Hist -,Nova Scotia,-,-,-,-,NA-010,-
Machias Seal Island,CAN 292,- -,New Brunswick,44° 30.0' N,067° 6.0' W,Map,FN64km,-,3
Machias Seal Island West,CAN 918,Hist -,New Brunswick,-,-,-,-,-,-
Machons Point Range Front,CAN 293,- -,Prince Edward Island,46° 1.0' N,062° 31.0' W,Map,FN86ra,-,-
Machons Point Range Rear,CAN 294,- -,Prince Edward Island,46° 1.0' N,062° 31.0' W,Map,FN86ra,-,-
Magog (Lake Memphremagog),CAN 716,Hist -,Quebec,-,-,-,-,-,-
Main Duck Island (Lake Ontario),CAN 760,- -,Ontario,-,-,-,-,-,1
Main-a-Dieu,CAN 296,- -,Nova Scotia,46° 0.0' N,059° 50.0' W,Map,GN05cx,-,-
Maisonnette,CAN 919,Hist -,New Brunswick,-,-,-,-,-,-
Malagash Wharf (Gulf of St. Lawrence),CAN 1315,Hist -,Nova Scotia,45° 46.0' N,063° 18.0' W,Map,FN85is,-,-
Malpeque Harbour Approach Range (Front),CAN 297,- -,Prince Edward Island,46° 35.0' N,063° 43.0' W,Map,FN86do,-,1
Malpeque Harbour Approach Range (Rear),CAN 298,Hist -,Prince Edward Island,46° 35.0' N,063° 43.0' W,Map,FN86do,-,1
Malpeque Outer Range Front,CAN 299,- -,Prince Edward Island,46° 34.0' N,063° 39.0' W,Map,FN86en,-,1
Malpeque Outer Range Rear,CAN 300,Hist -,Prince Edward Island,46° 34.0' N,063° 39.0' W,Map,FN86en,-,1
Man of War Point,CAN 301,Hist -,Nova Scotia,46° 12.0' N,060° 33.0' W,Map,FN96re,-,-
Manitowaning,CAN 302,Hist -,Ontario,-,-,-,-,-,-
Manuel Island (Catalina),CAN 693,- -,Newfoundland and Labrador,48° 31.0' N,053° 4.0' W,Map,GN38lm,-,-
Marache Point,CAN 303,- -,Nova Scotia,45° 29.0' N,061° 2.0' W,Map,FN95ll,-,1
Marcelle Point,CAN 745,Hist -,New Brunswick,-,-,-,-,-,-
Margaree Harbour Inner Range,CAN 607,- -,Nova Scotia,46° 26.0' N,061° 7.0' W,Map,FN96kk,-,-
Margaree Harbour Outer Range,CAN 304,- -,Nova Scotia,46° 26.0' N,061° 7.0' W,Map,FN96kk,-,1
"Margaree Island/Sea Wolf Island Sea Wolf Island/Margaree Island, NS",CAN 305,- -,Nova Scotia,46° 21.0' N,061° 16.0' W,Map,FN96ii,-,-
Margaretsville,CAN 306,Hist -,Nova Scotia,45° 3.0' N,065° 4.0' W,Map,FN75lb,-,3
Maria (Gulf of St. Lawrence),CAN 1123,Hist -,Quebec,-,-,-,-,-,-
Mariatown Light 92,CAN 1452,- -,Ontario,44° 52.9' N,075° 12.2' W,Map,FN24jv,-,4
Mariatown Range Front,CAN 1453,- -,Ontario,44° 53.0' N,075° 12.5' W,Map,FN24jv,-,4
Mariatown Range Rear,CAN 1454,- -,Ontario,44° 53.0' N,075° 12.5' W,Map,FN24jv,-,4
Mark Point,CAN 307,Hist -,New Brunswick,-,-,-,-,-,-
"Marshall Cove/Port Lorne/Port Williams (Bay of Fundy) Port Lorne/Port Williams/Marshall Cove (Bay of Fundy), NS H : Port Williams/Marshall Cove/Port Lorne (Bay of Fundy), NS H",CAN 1210,Hist -,Nova Scotia,-,-,-,-,-,-
Marticot Island,CAN 694,Hist -,Newfoundland and Labrador,47° 19.0' N,054° 35.0' W,Map,GN27qh,-,-
Martin Head,CAN 920,Hist -,New Brunswick,-,-,-,-,-,-
"Mary-Joseph/Thrumcap Islet Thrumcap Islet/Mary-Joseph, NS H",CAN 1385,Hist -,Nova Scotia,-,-,-,-,-,-
Matane,CAN 956,- -,Quebec,48° 51.1' N,067° 30.7' W,Map,FN68fu,-,-
Maugher Beach,CAN 308,- -,Nova Scotia,44° 36.0' N,063° 32.0' W,Map,FN84fo,-,1
Maybury Highway (St. Clair River),CAN 1015,Hist -,Ontario,42° 33.0' N,082° 38.0' W,Map,EN82qn,-,-
McColgan Point,CAN 309,- -,New Brunswick,-,-,-,-,-,-
McFarlane Point,CAN 921,Hist -,New Brunswick,-,-,-,-,-,-
McInnes Island,CAN 310,- -,British Columbia,52° 15.7' N,128° 43.3' W,Map,CO52pg,-,-
McKay Island,CAN 311,Hist -,Ontario,-,-,-,-,-,1
McKenzie Point (Great Bras d'Or),CAN 1229,Hist -,Nova Scotia,-,-,-,-,-,-
"McKie Point/Pointe Beaudette/Pointe au Beaudet (St. Lawrence River) Pointe au Beaudet/McKie Point/Pointe Beaudette (St. Lawrence River), QC : Pointe Beaudette/Pointe au Beaudet/McKie Point (St. Lawrence River), QC",CAN 1124,- -,Quebec,-,-,-,-,-,-
McMann Point,CAN 922,Hist -,New Brunswick,-,-,-,-,-,-
"McNab Point/Southampton Harbour Rear Range/Southampton Harbour (Lake Huron) Southampton Harbour Rear Range/Southampton Harbour/McNab Point (Lake Huron), ON : Southampton Harbour/McNab Point/Southampton Harbour Rear Range (Lake Huron), ON",CAN 643,- -,Ontario,-,-,-,-,-,1
McNab's Island,CAN 1280,Hist -,Nova Scotia,44° 37.0' N,063° 32.0' W,Map,FN84fo,-,-
McNeil's Beach (Boularderie Island),CAN 295,- -,Nova Scotia,-,-,-,-,-,-
McNicholl Range (Georgian Bay),CAN 1075,Hist -,Ontario,-,-,-,-,-,-
McQuestin Point (Ottawa River),CAN 1039,Hist -,Ontario,-,-,-,-,-,-
Meaford (Georgian Bay),CAN 312,Hist -,Ontario,-,-,-,-,-,-
Medway Head,CAN 313,Hist -,Nova Scotia,44° 6.0' N,064° 32.0' W,Map,FN74rc,-,1
Merry Island,CAN 314,- -,British Columbia,49° 28.0' N,123° 54.7' W,Map,CN89bl,-,-
Michael Point (Manitoulin Island) (Lake Huron),CAN 315,Hist -,Ontario,-,-,-,-,-,-
"Michipicoten Harbour (Michipicoten Island, Lake Superior)",CAN 1318,- -,Ontario,-,-,-,-,-,-
"Michipicoten Island East End (Michipicoten Island, Lake Superior)",CAN 1319,- -,Ontario,-,-,-,-,-,-
"Michipicoten Island/Quebec Harbour (Lake Superior) Quebec Harbour/Michipicoten Island (Lake Superior), ON",CAN 576,- -,Ontario,-,-,-,-,-,-
Middle Caraquet Range Front,CAN 1416,- -,New Brunswick,47° 48.2' N,064° 53.2' W,Map,FN77nt,-,-
Middle Caraquet Range Rear,CAN 895,- -,New Brunswick,-,-,-,-,-,-
Middle Island (Lake Erie),CAN 1076,Hist -,Ontario,-,-,-,-,-,-
Middle Melford Range Front,CAN 1397,- -,-,-,-,-,-,-,-
Middle Melford Range Rear,CAN 1398,- -,-,-,-,-,-,-,-
Midjik Bluff,CAN 923,Hist -,New Brunswick,-,-,-,-,-,-
Midland Point Range Front (Georgian Bay),CAN 316,- -,Ontario,44° 46.0' N,079° 50.0' W,Map,FN04bs,-,-
Midland Point Range Rear (Georgian Bay),CAN 317,- -,Ontario,44° 46.0' N,079° 50.0' W,Map,FN04bs,-,-
Miminegash Range Front,CAN 318,- -,Prince Edward Island,46° 53.0' N,064° 14.0' W,Map,FN76vv,-,1
Miminegash Range Rear,CAN 319,Hist -,Prince Edward Island,46° 53.0' N,064° 14.0' W,Map,FN76vv,-,-
Miscou Harbour Front Range,CAN 924,- -,New Brunswick,-,-,-,-,-,-
Miscou Harbour Rear Range,CAN 1405,- -,New Brunswick,47° 52.9' N,063° 35.0' W,Map,FN87fv,-,-
Miscou Island,CAN 320,- -,New Brunswick,48° 1.0' N,064° 30.0' W,Map,FN78sa,-,3
Mission Channel Entrance (Lake Surperior),CAN 1016,- -,Ontario,48° 21.0' N,089° 12.0' W,Map,EN58ji,-,1
Mississagi,CAN 321,- -,Ontario,-,-,-,-,-,-
Mississagi Strait,CAN 322,- -,Ontario,45° 53.5' N,083° 13.5' W,Map,EN85jv,-,1
Mississauga Point (Lake Ontario),CAN 761,Hist -,Ontario,-,-,-,-,-,1
Mitchener Point,CAN 323,- -,Nova Scotia,-,-,-,-,-,1
Mohawk Island/Gull Island (Lake Erie),CAN 324,Hist -,Ontario,42° 50.0' N,079° 31.4' W,Map,FN02fu,-,3
Molson Island (Lake Memphremagog),CAN 717,Hist -,Quebec,-,-,-,-,-,-
Montgomery Island,CAN 925,Hist -,New Brunswick,-,-,-,-,-,-
Montmagny - Front Range,CAN 1388,- -,Quebec,46° 59.2' N,070° 33.1' W,Map,FN46rx,-,1
Montmagny - Rear Range,CAN 1389,- -,Quebec,46° 59.1' N,070° 33.1' W,Map,FN46rx,-,1
Montreal Front Range (St. Lawrence River),CAN 1185,Hist -,Quebec,-,-,-,-,-,-
Montreal Rear Range (St. Lawrence River),CAN 1186,Hist -,Quebec,-,-,-,-,-,-
Mooretown (St. Clair River),CAN 1351,- -,Ontario,42° 50.0' N,082° 28.0' W,Map,EN82st,-,-
Morris Island (Ottawa River),CAN 1077,Hist -,Ontario,45° 27.7' N,076° 17.3' W,Map,FN15ul,-,4
Mosher Island,CAN 325,- -,Nova Scotia,44° 14.0' N,064° 19.0' W,Map,FN74uf,-,-
Moulin De Grondines,CAN 1392,- -,Quebec,46° 35.3' N,072° 2.3' W,Map,FN36xo,-,2
Mulholland Point,CAN 326,- -,New Brunswick,44° 51.8' N,066° 58.9' W,Map,FN64mu,-,1
Mullin's Point Front Range,CAN 1281,Hist -,Nova Scotia,45° 49.6' N,063° 25.5' W,Map,FN85gt,-,-
Mullin's Point Rear Range,CAN 327H,Hist -,Nova Scotia,45° 49.6' N,063° 25.8' W,Map,FN85gt,-,1
Mullin's Point Rear Range Private Residence,CAN 327M,- -,Nova Scotia,45° 49.5' N,063° 26.6' W,Map,FN85gt,-,1
Munroe Point (St. Anns Bay),CAN 1307,- -,Nova Scotia,-,-,-,-,-,-
"Murray Harbour Range Front/Oldstore Point Oldstore Point/Murray Harbour Range (Front), PE",CAN 328,- -,Prince Edward Island,46° 1.0' N,062° 29.0' W,Map,FN86sa,-,-
Murray Harbour Range Rear,CAN 329,Hist -,Prince Edward Island,46° 1.0' N,062° 29.0' W,Map,FN86sa,-,1
Murray Harbour Village Range (Front),CAN 330,Hist -,Prince Edward Island,46° 0.0' N,062° 31.0' W,Map,FN85rx,-,-
Murray Harbour Village Range (Rear),CAN 331,Hist -,Prince Edward Island,46° 0.0' N,062° 31.0' W,Map,FN85rx,-,-
"Musquash Head/Western Head Western Head/Musquash Head, NB",CAN 332,- -,New Brunswick,-,-,-,-,-,-
Musquash Island,CAN 333,Hist -,New Brunswick,-,-,-,-,-,-
Musquodoboit Front Range,CAN 615,Hist -,Nova Scotia,44° 42.0' N,063° 5.0' W,Map,FN84kq,-,-
Nany Bar,CAN 926,- -,New Brunswick,-,-,-,-,-,-
Narrow Island (Lake Huron),CAN 335,Hist -,Ontario,-,-,-,-,-,-
"Narrow Shoals (Bay of Quinte, Lake Ontario)",CAN 1337,Hist -,Ontario,44° 6.5' N,077° 29.9' W,Map,FN14gc,-,1
Naufrage Harbour East Breakwater,CAN 337,- -,Prince Edward Island,46° 28.0' N,062° 25.0' W,Map,FN86tl,-,-
Naufrage West Breakwater,CAN 338,Hist -,Prince Edward Island,46° 28.0' N,062° 25.0' W,Map,FN86tl,-,-
"Naufrage/Shipwreck Point Shipwreck Point/Naufrage, PE",CAN 459,- -,Prince Edward Island,46° 28.0' N,062° 25.0' W,Map,FN86tl,-,2
Negro Point,CAN 927,Hist -,New Brunswick,-,-,-,-,-,-
Neguac Rear Range,CAN 800,- -,New Brunswick,-,-,-,-,-,-
Neil Harbour,CAN 339,- -,Nova Scotia,46° 48.0' N,060° 19.0' W,Map,FN96ut,-,1
"New Edinburgh/Weymouth/Sissiboo Sissiboo/Weymouth/New Edinburgh, NS H : Waymouth/Sissiboo/New Edinburgh, NS H",CAN 602,Hist -,Nova Scotia,44° 26.0' N,066° 1.0' W,Map,FN64xk,-,-
New London Range (Front),CAN 340,- -,Prince Edward Island,46° 31.0' N,063° 29.0' W,Map,FN86gm,-,1
New London Range (Rear),CAN 341,Hist -,Prince Edward Island,46° 31.0' N,063° 29.0' W,Map,FN86gm,-,3
Newcastle,CAN 928,Hist -,New Brunswick,-,-,-,-,-,-
Newcastle (Lake Ontario),CAN 1078,Hist -,Ontario,-,-,-,-,-,-
Newport Point (Gulf of St. Lawrence),CAN 1125,Hist -,Quebec,-,-,-,-,-,-
Niagara River Front Range,CAN 620,- -,Ontario,-,-,-,-,-,1
Niagara River Rear Range,CAN 621,- -,Ontario,-,-,-,-,-,2
Nicholson's Point,CAN 1425,- -,Ontario,44° 12.4' N,076° 41.1' W,Map,FN14pe,-,2
Nicolet Sector (Lac Saint-Pierre),CAN 1264,- -,Quebec,-,-,-,-,-,-
Nine Mile Creek (Wharf),CAN 342,- -,Prince Edward Island,46° 9.0' N,063° 13.0' W,Map,FN86jd,-,-
Nine Mile Point (Lake Ontario),CAN 578,- -,Ontario,44° 9.3' N,076° 33.3' W,Map,FN14rd,-,11
Noel (Cobequid Bay),CAN 1230,Hist -,Nova Scotia,-,-,-,-,-,-
Nootka,CAN 343,- -,British Columbia,49° 35.0' N,126° 38.0' W,Map,CN69qo,-,1
North Canso,CAN 344,Hist -,Nova Scotia,45° 41.0' N,061° 29.0' W,Map,FN95gq,-,-
North Cape,CAN 345,Hist -,Prince Edward Island,47° 3.0' N,063° 0.0' W,Map,FN87mb,-,4
North Head (Brigus),CAN 664,- -,Newfoundland and Labrador,47° 34.0' N,052° 41.0' W,Map,GN37pn,-,-
North Lake Harbour (West Breakwater),CAN 346,Hist -,Prince Edward Island,46° 28.0' N,062° 4.0' W,Map,FN86xl,-,-
North Lake Harbour Range (Front),CAN 347,- -,Prince Edward Island,46° 28.0' N,062° 4.0' W,Map,FN86xl,-,-
North Lake Harbour Range (Rear),CAN 348,Hist -,Prince Edward Island,46° 28.0' N,062° 4.0' W,Map,FN86xl,-,-
North Penguin Island,CAN 841,Hist -,Newfoundland and Labrador,49° 27.0' N,053° 49.0' W,Map,GN39ck,-,-
North Point East,CAN 349,- -,Prince Edward Island,47° 3.5' N,063° 59.8' W,Map,FN87ab,-,-
North Rock Light,CAN 1438,- -,-,44° 32.3' N,067° 5.3' W,Map,FN64km,-,2
North Rustico Harbour,CAN 350,Hist -,Prince Edward Island,46° 27.0' N,063° 18.0' W,Map,FN86ik,-,2
North Tracadie,CAN 929,Hist -,New Brunswick,-,-,-,-,-,-
Northeast Harbour Front Range (Negro Harbour),CAN 1231,Hist -,Nova Scotia,-,-,-,-,-,-
Northeast Harbour Rear Range (Negro Harbour),CAN 1232,Hist -,Nova Scotia,-,-,-,-,-,-
Northport Range (Front),CAN 354,- -,Prince Edward Island,46° 47.0' N,064° 4.0' W,Map,FN76xs,-,-
Northport Range (Rear),CAN 355,- -,Prince Edward Island,46° 47.0' N,064° 4.0' W,Map,FN76xs,-,5
Northwest Head (Ramea),CAN 695,- -,Newfoundland and Labrador,47° 31.0' N,057° 25.0' W,Map,GN17gm,-,-
Norway Point Range Front,CAN 886,- -,Nova Scotia,45° 40.0' N,062° 43.0' W,Map,FN85pp,-,-
Norway Point Range Rear,CAN 887,- -,Nova Scotia,45° 40.0' N,062° 43.0' W,Map,FN85pp,-,-
Nottawasaga Island (Lake Huron),CAN 356,- -,Ontario,44° 3.3' N,080° 15.5' W,Map,EN94ub,-,-
Oak Point (Miramichi Bay),CAN 732,- -,New Brunswick,-,-,-,-,-,1
Oak Point (St John R.),CAN 358,Hist -,New Brunswick,-,-,-,-,-,-
Oakville (New) (Lake Ontario),CAN 633,Hist -,Ontario,-,-,-,-,-,-
Oakville (Old) (Lake Ontario),CAN 632,Hist -,Ontario,-,-,-,-,-,-
Offer Wadham Island,CAN 696,- -,Newfoundland and Labrador,49° 36.0' N,053° 46.0' W,Map,GN39co,-,-
Oka (Ottawa River),CAN 1126,Hist -,Quebec,-,-,-,-,-,-
Oka Wharf (Ottawa River),CAN 1127,Hist -,Quebec,-,-,-,-,-,-
Old Long Point Cut (Lake Erie),CAN 635,- -,Ontario,-,-,-,-,-,-
Old Pelee Passage (Lake Erie),CAN 581H,Hist -,Ontario,-,-,-,-,-,-
"Old Pelee Passage (Windsor's Lakeview Park) Old Pelee Passage (Lake Erie), ON H",CAN 581M,Hist Museum,Ontario,-,-,-,-,-,-
Old Thames River,CAN 359,- -,Ontario,-,-,-,-,-,1
Old Tower Island (Georgian Bay),CAN 1079,Hist -,Ontario,-,-,-,-,-,-
Onderdonk Point (Bay Of Quinte) (Lake Ontario),CAN 1080,Hist -,Ontario,-,-,-,-,-,1
Oromocto,CAN 930,Hist -,New Brunswick,-,-,-,-,-,-
Otter Island (Lake Superior),CAN 582,Hist -,Ontario,-,-,-,-,-,-
Ouetique Island (Lennox Passage),CAN 1309,- -,Nova Scotia,45° 37.0' N,060° 57.0' W,Map,FN95mo,-,-
Outhouse Point,CAN 931,Hist -,New Brunswick,-,-,-,-,-,-
Owen Sound Front Range (Georgian Bay),CAN 783,- -,Ontario,-,-,-,-,-,-
Owen Sound Marina (Georgian Bay),CAN 361,Hist -,Ontario,-,-,-,-,-,-
Owen Sound Rear Range (Georgian Bay),CAN 784,- -,Ontario,-,-,-,-,-,-
Owl's Head,CAN 1282,Hist -,Nova Scotia,44° 43.0' N,062° 48.0' W,Map,FN84or,-,-
Pachena Point,CAN 362,- -,British Columbia,48° 44.0' N,125° 6.0' W,Map,CN78kr,-,-
Pack's Harbour (Sandwich Bay),CAN 1356,Hist -,Newfoundland and Labrador,-,-,-,-,-,-
Paddy Shoal,CAN 1128,Hist -,Quebec,-,-,-,-,-,-
Page Island (Port La Tour Harbour),CAN 1207,Hist -,Nova Scotia,-,-,-,-,-,-
Palmer Landing,CAN 932,Hist -,New Brunswick,-,-,-,-,-,-
Palmers Range Front (Victoria Harbour),CAN 514,- -,Prince Edward Island,46° 3.0' N,063° 29.0' W,Map,FN86gb,-,-
"Palmers Range Rear/Victoria (Victoria Harbour) Victoria/Palmer's Rear Range (Victoria Harbour), PE",CAN 1321,Hist -,Prince Edward Island,46° 13.0' N,063° 29.0' W,Map,FN86gf,-,-
Panmure Head,CAN 363,- -,Prince Edward Island,46° 8.7' N,062° 28.0' W,Map,FN86sd,-,6
Parkers Cove (Bay of Fundy),CAN 1208,Hist -,Nova Scotia,-,-,-,-,-,-
Parrsboro,CAN 364,- -,Nova Scotia,45° 23.0' N,064° 19.0' W,Map,FN75uj,-,1
Partridge Island,CAN 365,- -,New Brunswick,45° 14.0' N,066° 3.0' W,Map,FN65xf,-,1
Paspédiac,CAN 978,Hist -,Quebec,-,-,-,-,-,-
"Passage Lower (Ile Leblanc, Ottawa R.)",CAN 891,- -,Quebec,45° 52.3' N,077° 11.7' W,Map,FN15ju,-,1
Pea Point,CAN 366,Hist -,New Brunswick,45° 2.4' N,066° 53.6' W,Map,FN65na,-,2
Pearl Island,CAN 367,Hist -,Nova Scotia,44° 23.0' N,064° 3.0' W,Map,FN74xj,-,-
Peases Island,CAN 368,- -,Nova Scotia,43° 38.0' N,066° 2.0' W,Map,FN63xp,-,-
Peck's Point,CAN 731,Hist -,New Brunswick,-,-,-,-,-,-
Peckford Island,CAN 697,- -,Newfoundland and Labrador,49° 32.0' N,053° 51.0' W,Map,GN39bm,-,-
"Peggy's Cove/Peggy's Point Peggy's Point/Peggy's Cove, NS",CAN 369,- -,Nova Scotia,44° 30.0' N,063° 55.0' W,Map,FN84bm,-,4
Pelee Island (Lake Erie),CAN 370,Hist -,Ontario,-,-,-,-,-,-
Pelee Passage,CAN 371,Hist -,Ontario,-,-,-,-,-,-
Pembroke,CAN 1448,- -,Ontario,45° 49.8' N,077° 7.0' W,Map,FN15kt,-,2
"Pendlebury/St. Andrews St. Andrews/Pendlebury, NB",CAN 714,- -,New Brunswick,45° 4.1' N,067° 2.9' W,Map,FN65lb,-,2
Penetanguishene,CAN 372,- -,Ontario,-,-,-,-,-,-
Peninsula Harbour (Lake Superior),CAN 1081,Hist -,Ontario,-,-,-,-,-,-
Pennant Harbour,CAN 373,Hist -,Nova Scotia,44° 28.0' N,063° 38.0' W,Map,FN84el,-,-
Peter Island,CAN 374,- -,Nova Scotia,44° 15.0' N,066° 20.0' W,Map,FN64tf,-,-
